Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Pathway	AlphaFoldDB
P36334	reviewed	SPIKE_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Human coronavirus OC43 (HCoV-OC43)	1353	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
K9N5Q8	reviewed	SPIKE_MERS1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012) (MERS-CoV) (Betacoronavirus England 1)	1353	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; membrane fusion [GO:0061025]; positive regulation of viral entry into host cell [GO:0046598]; receptor-mediated virion attachment to host cell [GO:0046813]		
P22432	reviewed	SPIKE_CVM4	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Murine coronavirus (strain 4) (MHV-4) (Murine hepatitis virus)	1376	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P11224	reviewed	SPIKE_CVMA5	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus)	1324	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P11225	reviewed	SPIKE_CVMJH	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Murine coronavirus (strain JHM) (MHV-JHM) (Murine hepatitis virus)	1235	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
Q02385	reviewed	SPIKE_CVMJC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Murine coronavirus (strain JHMV / variant CL-2) (MHV) (Murine hepatitis virus)	1376	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P27655	reviewed	SPIKE_CVPR8	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine respiratory coronavirus (strain 86/137004 / isolate British) (PRCoV) (PRCV)	1225	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P24413	reviewed	SPIKE_CVPRM	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine respiratory coronavirus (strain RM4) (PRCoV) (PRCV)	1225	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P07946	reviewed	SPIKE_CVPPU	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S 2	Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV)	1447	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
Q9IKD1	reviewed	SPIKE_CVRSD	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Rat coronavirus (strain 681) (RCV-SDAV) (Sialodacryoadenitis virus SDAV-681)	1360	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]		
P59594	reviewed	SPIKE_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Severe acute respiratory syndrome coronavirus (SARS-CoV)	1255	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; membrane fusion [GO:0061025]; positive regulation of viral entry into host cell [GO:0046598]; receptor-mediated virion attachment to host cell [GO:0046813]; symbiont-mediated suppression of host innate immune response [GO:0052170]; symbiont-mediated-mediated suppression of host tetherin activity [GO:0039587]		
P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	endocytosis involved in viral entry into host cell [GO:0075509]; entry receptor-mediated virion attachment to host cell [GO:0098670]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; membrane fusion [GO:0061025]; positive regulation of viral entry into host cell [GO:0046598]; receptor-mediated virion attachment to host cell [GO:0046813]; symbiont entry into host cell [GO:0046718]; symbiont-mediated disruption of host tissue [GO:0141146]; symbiont-mediated suppression of host innate immune response [GO:0052170]; symbiont-mediated-mediated suppression of host tetherin activity [GO:0039587]; virion attachment to host cell [GO:0019062]		
